City,Property Type,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
Karachi,hotel,Hotel Zishan,,,,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/707867791.webp?k=dc680ccfe7ef5e65b1875696d62df3af661e87e54e65dcc0b6effadf3b7b24e4&o=,images_hotel\Hotel_Zishan.jpg
Karachi,hotel,Hotel Bilal,,Scored 5.7,5,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/276083474.webp?k=7e5a362f35433be74e6df42286e049aad0fa44a46843310a05252ff87833aa95&o=,images_hotel\Hotel_Bilal.jpg
Karachi,hotel,Hotel Galaxy,,Scored 3.8,3,"Shahrah-e-Faisal, Karachi (Shahrah-e-Faisal)",https://cf.bstatic.com/xdata/images/hotel/square240/658246465.webp?k=3d7321a22611df0e66b9c224ecbc6bb0d3a4f5369f4acab9c8fbcca2d648c3d9&o=,images_hotel\Hotel_Galaxy.jpg
Karachi,hotel,Hotel Moon Light,,Scored 10,10,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/643877179.webp?k=8a89273ad72c4bd4a8e582dc3090bd53e12560b3eeb3976286e6aecf147e33b5&o=,images_hotel\Hotel_Moon_Light.jpg
Karachi,hotel,Seasons Inn,,Scored 7.0,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/342836545.webp?k=eb82711d25dfc21b2da4985ebcfe5138c80d270a2b30b6a98c58a62449c8d259&o=,images_hotel\Seasons_Inn.jpg
Karachi,hotel,Eynn Aparthotels - Service Apartments x Gulistan-e-Johar Block 16,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/724168534.webp?k=eb48ba7c080db5bca4cb54e0135d1dd1284bf076e6033e1624a64decb74e9a9b&o=,images_hotel\Eynn_Aparthotels_-_Service_Apartments_x_Gulistan-e-Johar_Block_16.jpg
Karachi,hotel,New Hotel Chilton,,Scored 5.6,5,"Saddar Town, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/358260316.webp?k=08c0ab3a1bdef2c61d645a07f35da822d2064f20c4668b172de5b5ce68efadb2&o=,images_hotel\New_Hotel_Chilton.jpg
Karachi,hotel,Elet Business Hotel,,Scored 8.3,8,"Shahrah-e-Faisal, Karachi (Shahrah-e-Faisal)",https://cf.bstatic.com/xdata/images/hotel/square240/715761511.webp?k=fd32b843cc1f10425c521e0c237fb4a15a29ee3553c6f8dba74b4d1a1382b1aa&o=,images_hotel\Elet_Business_Hotel.jpg
Karachi,hotel,Sunset Suites,,Scored 6.9,6,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/196090933.webp?k=4c6cf1430ccf7d9bbbcd7ff84f90a275379e715c5e865a43f69bcb8c88d29d25&o=,images_hotel\Sunset_Suites.jpg
Karachi,hotel,Tulip Hotel,,Scored 5.9,5,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/640521493.webp?k=364a49ece299ff53d2e060c9468465b6b78f41801fcbc51ac710efe44ccde471&o=,images_hotel\Tulip_Hotel.jpg
Karachi,hotel,Destination Beach Hotel by Dreamworld,,Scored 7.3,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/487842869.webp?k=2edb6277c67b297ed0023833636bba8b69dfdd90f8c64502d1121406894be305&o=,images_hotel\Destination_Beach_Hotel_by_Dreamworld.jpg
Karachi,hotel,Hotel Aladin In Karachi,,Scored 6.6,6,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/709628719.webp?k=03e1b96105952291addb3c9142b27666e63802e4839f9eb82c184eb394ec9e98&o=,images_hotel\Hotel_Aladin_In_Karachi.jpg
